word,selected_sentence,sentence_length,original_frequency
islamist,"Also in 1977, the popular and influential modernist Islamist theorist Ali Shariati died under mysterious circumstances.",16,12
strengthening,"Operationally, the probability for further rapid strengthening was considered nearly nine times the average of a typical hurricane.",18,12
extremist,"Franz Xaver Schönhuber (10 January 1923 – 27 November 2005) was a German right-wing extremist journalist, politician, and author.",19,12
insomnia,"Side effects and withdrawal Side effects include drowsiness, dizziness, insomnia, nausea, vomiting, and abdominal discomfort.",15,12
headliner,She also ensured that one of the headliner speeches made reference to women's rights in Saudi Arabia.,17,12
geneticist,"Personal life She married Timothy Bestor, a fellow geneticist at Columbia University in 2004.",14,12
seaport,This seaport and dry-dock hub was also a place where many different peoples congregated.,14,12
gust,Gust fronts may be produced by the outflow of rain-cooled air from an intense thunderstorm.,15,12
olive,In the center is the word “Jadafa” engraved surrounded by two olive branches.,13,12
stupa,Monumental votive stupa The monument is found in one of the rooms of the monastery.,15,12
efficient,Traditional buildings Traditional buildings were energy efficient because architecture depended on the places.,13,12
secession,During the American Civil War Murphy opposed secession and supported the Union.,12,12
smallpox,Initially it was uncommon for a family member to contract the infection unless they did not have a smallpox scar.,20,12
urge,"Since 1997, there has been an urge in Skogås and Trångsund to leave Huddinge Municipality, and form an own municipality.",20,12
hypocrisy,The woes mostly criticise the Pharisees for hypocrisy and perjury.,10,12
leasing,"Of the Class 10E2, numbers to were later also included in this leasing deal.",14,12
bidder,"The Penistone trial however was cancelled before a bidder was selected, and was replaced in September 2009 with an electric Rotherham-Sheffield trial.",22,12
phylum,"2016 Phylum Spirochaetota Class ""Leptospiria"" Cavalier-Smith 2020 Leptospirales Gupta et al.",11,12
totem,The interior of the centre originally featured a sculpture by the Czech artist Franta Belsky entitled Totem.,17,12
islet,"Akoğlu Island, known in Greek as Kópanos (Κόπανος), is a Turkish islet in the Aegean Sea.",16,12
moderation,"This shrewd moderation and pithiness is admirable, and absolutely not to be underestimated.",13,12
exceeds,"In some cases, the cost of recyclable materials also exceeds the cost of raw materials.",15,12
warden,"Burl Cain, the warden of LSP, was reared in Pitkin.",10,12
paddy,Fields of paddy and cash crops were submerged by the tidal waves.,12,12
inhumane,"Reactions Democrats objected to the airlift, and Biden called it ""a political stunt and inhumane"".",15,12
dive,These bombs were placed in cutouts in their target decks to imitate the effects of dive bombing.,17,12
taekwondo,"Lim Su-jeong (임수정; Hanja: 林秀貞; ; born August 20, 1986) is a female South Korean taekwondo practitioner.",17,12
counting,"16 February: General counting of votes, including the counting of CERA votes.",12,12
tortoise,The Conservation Area is a protected habitat for the desert tortoise.,11,12
solubility,"Common advantages over antibodies are better solubility, tissue penetration, stability towards heat and enzymes, and comparatively low production costs.",19,12
defamation,The player agreed not to press charges against the club for defamation.,12,12
grasp,IdrA is known for his macro abilities and an excellent grasp of fundamentals and mechanics.,15,12
teleplay,Story was turned into a teleplay by Serling to the episode named The Four of Us Are Dying.,18,12
mudra,"He used the word Varadadasa as his mudra, in respect for Tiger Varadachariar, his teacher.",15,12
dehydration,Acetal derivatives Acetaldehyde forms a stable acetal upon reaction with ethanol under conditions that favor dehydration.,16,12
datestamps,"The cancellations evolved with the wear, the renewal and the changing by postal regulations of the datestamps.",17,12
reintroduction,"In January 2006, Botswana announced the reintroduction of school fees after two decades of free state education.",17,12
slum,"and advocated for job security, slum clearance, and affordable housing for Hamiltonians.",12,12
diarrhea,A constant opioid user may experience withdrawal symptoms such as nausea and diarrhea.,13,12
monotherapy,"In the European Union, pembrolizumab is indicated for: the treatment of advanced (unresectable or metastatic) melanoma in adults as monotherapy.",20,12
stalk,"The petals are erect, the blades long and wide on a stalk long.",13,12
faint,"He noticed a faint green glow from the screen, about 1 metre away.",13,12
outward,"These are plants with medium-sized, upright or outward facing flowers, mostly unscented.",12,12
insult,They are led off by the guards as Edmund adds insult to injury by again invoking the dreaded Scottish curse.,20,12
onboard,Carts typically have an onboard heating and/or refrigeration system to keep the food ready for consumption.,16,12
mitzvah,"And from what I understand, he never had a bar mitzvah, which is unfortunate, because he doesn't get the money.""",20,12
phylogeny,The recognition of long-branch attraction implies that there is some other evidence that suggests that the phylogeny is incorrect.,19,12
bint,Habibah bint Ubayd Allah () is the daughter of Ubayd Allah ibn Jahsh and Ramla bint Abi Sufyan.,18,12
cocoa,Duty The National Cocoa and Coffee Board (NCCB) is charged with: Controlling and guaranteeing the quality of cocoa and coffee.,20,12
hort,Cotoneaster lambertii G.Klotz Cotoneaster lamprofolius J.Fryer & B.Hylmö Cotoneaster lanatus hort.,11,12
alkene,"Alternatively, the carbene can be trapped by an alkene to form a cyclopropane derivative.",14,12
variegatus,"C. variegatus, a species that otherwise has a diet typical of pupfish, will clean other fish by feeding on parasites on their body.",23,12
periwinkle,Periwinkle plants are easily infected with the disease and respond well when experimentally treated with antibiotics.,16,12
totality,"The elements are characterised by different categories than the things, of a speculative nature, like unity-multiplicity-totality, reality-possibility-necessity.",17,12
brought,Interpublic Group's purchase of True North in 2001 brought along the minority interest in Don Coleman Advertising.,17,12
promenade,There will also be a fishing pier extending from Pier C and a promenade.,14,12
spinning,"In 1776, the town's first water-powered mill for carding and spinning cotton was built at Rassbottom.",16,12
racetrack,In 1971 the original structure of the racetrack was destroyed in a fire.,13,12
hide,"Attempting to hide in a hollow tree, she finds Sir Philip, already concealed there.",14,12
quantifier,Logic in computer science Mathematical logic Philosophical logic Quantifier (logic) Game theory Semantics,13,12
asbestos,References Further reading Amphibole group Magnesium minerals Iron(II) minerals Asbestos,10,12
foyer,The entrance facade has a projecting foyer which was added to the building at a later date.,17,12
humane,"Decent, humane, well-liked, and personally free from corruption, McGirr as Premier was a great procrastinator, and delayed many proposals.",19,12
hepatitis,"In regions where the Hepatitis vaccine is not regulated, new infections occur predominately among infant and young children.",18,12
caring,"The Key Club International motto, which has been adopted by the BHS Key Club is, ""Caring, Our Way of Life.""",20,12
reside,"Death and burial After retiring, Crozier continued reside in Leavenworth.",10,12
parkland,Setting The school is housed in a mid-nineteenth century building sited in 110 acres of parkland.,16,12
paleontology,"Reassigned species Because Fenestella was erected early on in paleontology, many species have since been reassigned to other Fenestellid genera.",20,12
widower,Paturi Amaravathamma died in 1947 and thereafter he remained a widower.,11,12
spinner,"On 16 May 2017, Ketchapp released a fidget spinner-themed game, titled simply Fidget Spinner and developed by Estoty.",18,12
lobbyist,"Its chief lobbyist was Paul Behrends, who became Dana Rohrabacher's aide.",11,12
spillway,The main dam is constructed with an embankment on each side connected by a spillway.,15,12
sunshine,"Tracks on the EP are ‘Wish You Were Gone’, ‘Chronic Sunshine’, ‘After School Club’, ‘Social Sites’ and ‘Great Dane’.",19,12
judging,"From the start of the Bunten exhibitions in 1907, Seihō served on the judging committee.",15,12
thickening,The thickening separates from the glans creating the preputial fold and the preputial lamina on its ventral surface.,18,12
turbo,The first preparation of Audi RC8 2.0 TFSI inline-4 turbo engine was commenced in January 2015.,16,12
fracking,"Support for fracking was stronger among men, older people, and conservatives.",11,12
puck,Peter Puck connection McFarlane is often incorrectly cited as the creator or father of the cartoon character Peter Puck.,19,12
